	entity 1	entity 2	connected	Triple Entity 1	Triple Entity 2
1	Emma_Stone	Ram_Charan 	False	['Emma Stone | birth place | Scottsdale, Arizona', 'Emma Stone | birth date | 1988-11-06', 'Emma Stone | had partner | Dave McCary', 'Emma Stone | has occupation | Actress']	['Ram Charan | birth date | 1985-03-27', 'Ram Charan | has occupation | entrepreneur', 'Ram Charan | had partner | Upasana Kamineni', 'Ram Charan | has occupation | Actor', 'Ram Charan | birth place | Chennai', 'Ram Charan | birth place | India', 'Ram Charan | has occupation | film producer', 'Ram Charan | birth place | Tamil Nadu']
2	Britney_Spears	Ranbir_Kapoor	False	['Britney Spears | has occupation | Singer', 'Britney Spears | has occupation | actress', 'Britney Spears | birth date | 1981-12-02', 'Britney Spears | has occupation | dancer', 'Britney Spears | birth place | McComb, Mississippi', 'Britney Spears | has occupation | songwriter', 'Britney Spears | had partner | Sam Asghari']	['Ranbir Kapoor | birth place | Mumbai', 'Ranbir Kapoor | birth place | Maharashtra', 'Ranbir Kapoor | has occupation | Actor', 'Ranbir Kapoor | birth date | 1982-09-28', 'Ranbir Kapoor | had partner | Alia Bhatt']
3	Jennifer_Aniston	Harry_Knowles	False	['Jennifer Aniston | had partner | Justin Theroux', 'Jennifer Aniston | birth date | 1969-02-11', 'Jennifer Aniston | birth place | Los Angeles', 'Jennifer Aniston | has occupation | Actress', 'Jennifer Aniston | birth place | California', 'Jennifer Aniston | has occupation | businesswoman', 'Jennifer Aniston | had partner | Brad Pitt', 'Jennifer Aniston | has occupation | producer']	['Harry Knowles | birth place | Austin, Texas', 'Harry Knowles | has occupation | Film critic, writer', 'Harry Knowles | had partner | Patricia Cho Jones', 'Harry Knowles | birth date | 1971-12-11']
4	Vicky_Kaushal	Phil_McGraw	False	['Vicky Kaushal | birth date | 1988-05-16', 'Vicky Kaushal | birth place | Mumbai', 'Vicky Kaushal | has occupation | Actor', 'Vicky Kaushal | has relative | Sunny Kaushal']	['Phil McGraw | has occupation | author', 'Phil McGraw | had partner | Robin Jameson', 'Phil McGraw | had partner | Debbie Higgins McCall', 'Phil McGraw | birth date | 1950-09-01', 'Phil McGraw | birth place | Vinita, Oklahoma', 'Phil McGraw | has occupation | Television host']
5	Alia_Bhatt	Justin_Bieber	False	['Alia Bhatt | birth date | 1993-03-15', 'Alia Bhatt | birth place | Mumbai', 'Alia Bhatt | had partner | Ranbir Kapoor', 'Alia Bhatt | member of | See Bhatt family', 'Alia Bhatt | has occupation | Actress, singer']	['Justin Bieber | has occupation | Singer', 'Justin Bieber | has occupation | songwriter', 'Justin Bieber | has partner | Hailey Bieber', 'Justin Bieber | birth date | 1994-03-01', 'Justin Bieber | birth place | London, Ontario']
6	Scarlett_Johansson	Harry_Knowles	True	['Scarlett Johansson | had Partner | Romain Dauriac', 'Scarlett Johansson | hasOccupation | Actress', 'Scarlett Johansson | birth place | New York City', 'Scarlett Johansson | birth date | 1984-11-22', 'Scarlett Johansson | has relative | Ejner Johansson', 'Scarlett Johansson | had partner | Colin Jost', 'Scarlett Johansson | had occupation | singer', 'Scarlett Johansson | had partner | Ryan Reynolds']	['Harry Knowles | birth place | Austin, Texas', 'Harry Knowles | had Partner | Patricia Cho Jones', 'Harry Knowles | has occupation | film critic, writer', 'Harry Knowles | birthDate | 1971-12-11']
7	Jennifer_Lawrence	Justin_Bieber	True	['Jennifer Lawrence | had partner | Cooke Maroney', 'Jennifer Lawrence | has occupation | Actress', 'Jennifer Lawrence | birth place | Indian Hills, Kentucky', 'Jennifer Lawrence | birth date | 1990-08-15']	['Justin Bieber | has occupation | Singer', 'Justin Bieber | has occupation | songwriter', 'Justin Bieber | has partner | Hailey Bieber', 'Justin Bieber | birth date | 1994-03-01', 'Justin Bieber | birth place | London, Ontario']
8	Alia_Bhatt	Pawan_Kalyan	True	['Alia Bhatt | has occupation | Actress, singer', 'Alia Bhatt | had partner | Ranbir Kapoor', 'Alia Bhatt | birth date | 1993-03-15', 'Alia Bhatt | birth place | Mumbai', 'Alia Bhatt | member of | Bhatt family']	['Pawan Kalyan | has occupation | director', 'Pawan Kalyan | has occupation | writer', 'Pawan Kalyan | member of | Allu–Konidela family', 'Pawan Kalyan | has occupation | Actor', 'Pawan Kalyan | birth place | Bapatla', 'Pawan Kalyan | birth place | Andhra Pradesh', 'Pawan Kalyan | birth date | 1968-09-02', 'Pawan Kalyan | has occupation | Film Producer politician']
9	Jennifer_Aniston	Robert_Pattinson	True	['Jennifer Aniston | had Partner | Brad Pitt', 'Jennifer Aniston | has occupation | producer', 'Jennifer Aniston | birth date | 1969-02-11', 'Jennifer Aniston | birth place | Los Angeles', 'Jennifer Aniston | has occupation | businesswoman', 'Jennifer Aniston | birth place | California', 'Jennifer Aniston | had partner | Justin Theroux', 'Jennifer Aniston | has occupation | Actress']	['Robert Pattinson | has occupation | Actor', 'Robert Pattinson | had partner | Suki Waterhouse', 'Robert Pattinson | birth place | London', 'Robert Pattinson | has relative | Lizzy Pattinson', 'Robert Pattinson | birth date | 1986-05-13']
10	Keira_Knightley	Bradley_Cooper	True	['Keira Knightley | birth date | 1985-03-26', 'Keira Knightley | has occupation | actress', 'Keira Knightley | had partner | James Righton', 'Keira Knightley | birth place | London', 'Keira Knightley | had partner | ']	['Bradley Cooper | has occupation | Actor', 'Bradley Cooper | birth place | Abington Township, Montgomery County, Pennsylvania', 'Bradley Cooper | has occupation | filmmaker', 'Bradley Cooper | birth date | 1975-01-05', 'Bradley Cooper | has occupation | ', 'Bradley Cooper | had partner | Irina Shayk']
